t,onset,imported,domestic,total,imported_delay,domestic_delay
90,2020-04-02,1.2895966317142193,566.5060606036834,567.9588080870634,1.2899671854267936,566.6688409016363
91,2020-04-03,1.6369080483104932,549.9435898350539,551.766986201642,1.6374614838113422,550.1295247178305
92,2020-04-04,1.5572426109693518,514.8759791421714,516.6395066618609,1.5578646384383985,515.0816420234227
93,2020-04-05,1.078077979747683,465.10156768272,466.4006991690205,1.0785891837866868,465.32210998523476
94,2020-04-06,0.5707613248740306,416.0585453063968,416.86517253249093,0.571084449368948,416.294088083122
95,2020-04-07,0.2502368988686307,376.641421381096,377.1481516313797,0.2504071974131297,376.89774443396675
96,2020-04-08,0.09151100765525343,345.9086563382924,346.2855549723634,0.0915864877033295,346.1939684846599
97,2020-04-09,0.024874067756824395,321.39905873389034,321.74837925386163,0.024899175728609554,321.7234800781335
98,2020-04-10,0.0,300.95505102403393,301.3310256692465,0.0,301.3310256692465
99,2020-04-11,0.0,280.50266524808046,280.94191594105126,0.0,280.94191594105126
100,2020-04-12,0.0,258.303479805178,258.8176013498596,0.0,258.8176013498596
101,2020-04-13,0.0,237.94654406939105,238.55736675556716,0.0,238.55736675556716
102,2020-04-14,0.0,222.86035189280545,223.60906659526424,0.0,223.60906659526424
103,2020-04-15,0.0,212.10840285546632,213.05402435631413,0.0,213.05402435631413
104,2020-04-16,0.0,202.30479537463356,203.51661855439997,0.0,203.51661855439997
105,2020-04-17,0.0,190.03740606301218,191.5828995336562,0.0,191.5828995336562
106,2020-04-18,0.0,173.1655413990184,175.09298278938758,0.0,175.09298278938758
107,2020-04-19,0.0,153.50535171244843,155.8569606846428,0.0,155.8569606846428
108,2020-04-20,0.0,134.8835485934773,137.73680799564707,0.0,137.73680799564707
109,2020-04-21,0.0,117.85884699510382,121.30569753594322,0.0,121.30569753594322
110,2020-04-22,0.0,100.60615776973941,104.6724633609756,0.0,104.6724633609756
111,2020-04-23,0.0,82.77031804316583,87.38684829917386,0.0,87.38684829917386
112,2020-04-24,0.0,65.50610523577241,70.53745899353116,0.0,70.53745899353116
113,2020-04-25,0.0,49.6801261812728,54.92382009534432,0.0,54.92382009534432
114,2020-04-26,0.0,35.90566684958348,41.10581737579939,0.0,41.10581737579939
115,2020-04-27,0.0,24.32817792732202,29.161608578646398,0.0,29.161608578646398
116,2020-04-28,0.0,14.646452076433292,18.645450081587512,0.0,18.645450081587512
117,2020-04-29,0.0,7.287896994963778,10.035636049547515,0.0,10.035636049547515
118,2020-04-30,0.0,2.839161608238681,4.330766944920372,0.0,4.330766944920372
119,2020-05-01,0.0,0.8397115502733343,1.4638222008029875,0.0,1.4638222008029875
120,2020-05-02,0.0,0.18367522813545462,0.381494081087761,0.0,0.381494081087761
121,2020-05-03,0.0,0.028318989849120783,0.07419633224499779,0.0,0.07419633224499779
122,2020-05-04,0.0,0.0,0.0,0.0,0.0
123,2020-05-05,0.0,0.0,0.0,0.0,0.0
124,2020-05-06,0.0,0.0,0.0,0.0,0.0
125,2020-05-07,0.0,0.0,0.0,0.0,0.0
126,2020-05-08,0.0,0.0,0.0,0.0,0.0
127,2020-05-09,0.0,0.0,0.0,0.0,0.0
